Stock,Sales,High,Low,Close,Previous Close
Abitibi Power and Paper Company,1000,56,55,55,55
Abitibi Power and Paper Company pf,100,84,84,84,83
Adams Express,800,594,590,590,591
Advance Rumley,2200,31.625,29,29,30.75
Advance Rumley pf,600,48,41.125,41.125,40.125
Ahumada Lead,500,1.75,1.625,1.625,1.75
Air Reduction,4900,217,213.5,216,214
Air Wal El Ap,,,,,
Ajax Rubber,,,,,
Alaska Juneau,,,,,
Albany P W Paper,,,,,
Alleghany Corp,,,,,
Alleghany Corp pf,,,,,
Alleghany Corp pf xw,,,,,
Allied Ch & Dye,,,,,
Allied Ch & Dye pf,,,,,
Allis Chalm,,,,,
Alpha Port Cemt,,,,,
Amerada Corp,,,,,
American Agriculture Chemical,,,,,
American Agriculture Chemical pf,,,,,
American Bank Note,,,,,
American Beet Sugar,,,,,
American Bosch Magneto,,,,,
American Brake Shoe,,,,,
American Brown Bovine Electric,,,,,
American Can,,,,,
