Symbol,Dividend,Sales,High ,Low,02:00:00 PM,Chg.
Admirpl,.05p,3,4.75,4.75,4.75,
Aerojet,.12d,9,47.875,47,47.875,0.75
Aerosol,.54f,21,18.5,18.5,18.375,-0.125
Aileen,.50b,6,15.25,14.625,14.625,-0.625
